,order_item_id,order_id,calendar_id,delivery_id,customer_id,promotion_id,order_number,status,payment_method,product_id,amount_without_vat,cost_without_vat,discount_without_vat,gross_profit_without_vat
0,1,1,62,32,63,,ORD_1,Inbound,Credit card,59,21,13,0.0,8.0
1,2,1,62,32,63,,ORD_1,Inbound,Credit card,66,68,2,0.0,66.0
2,3,1,62,32,63,,ORD_1,Inbound,Credit card,65,74,20,0.0,54.0
3,4,1,62,32,63,,ORD_1,Inbound,Credit card,57,98,19,0.0,79.0
4,5,1,62,32,63,,ORD_1,Inbound,Credit card,19,46,27,0.0,19.0
5,6,2,129,95,28,,ORD_2,Inbound,Mobile payment,96,34,14,0.0,20.0
6,7,2,129,95,28,,ORD_2,Inbound,Mobile payment,8,58,2,0.0,56.0
7,8,2,129,95,28,,ORD_2,Inbound,Mobile payment,98,86,20,0.0,66.0
8,9,2,129,95,28,,ORD_2,Inbound,Mobile payment,91,87,14,0.0,73.0
9,10,2,129,95,28,,ORD_2,Inbound,Mobile payment,51,67,29,0.0,38.0
10,11,2,129,95,28,,ORD_2,Inbound,Mobile payment,41,68,2,0.0,66.0
11,12,3,180,65,82,,ORD_3,Delivered,Mobile payment,39,72,15,0.0,57.0
12,13,3,180,65,82,,ORD_3,Delivered,Mobile payment,61,63,4,0.0,59.0
13,14,3,180,65,82,,ORD_3,Delivered,Mobile payment,34,89,10,0.0,79.0
14,15,4,119,20,75,,ORD_4,In transit,Cash,82,93,23,0.0,70.0
15,16,4,119,20,75,,ORD_4,In transit,Cash,30,52,18,0.0,34.0
16,17,4,119,20,75,,ORD_4,In transit,Cash,44,91,27,0.0,64.0
17,18,4,119,20,75,,ORD_4,In transit,Cash,25,75,10,0.0,65.0
18,19,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,87,79,8,0.0,71.0
19,20,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,1,22,27,0.0,-5.0
20,21,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,57,98,19,0.0,79.0
21,22,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,18,44,6,0.0,38.0
22,23,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,88,87,16,0.0,71.0
23,24,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,1,22,27,0.0,-5.0
24,25,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,76,83,12,0.0,71.0
